Profile Link,score
https://www.linkedin.com/in/darrylwhitebmo?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAACivKckBFIm82sz0kdAIMjQfxMU_SyEWoyo,41
https://www.linkedin.com/in/kyle-j-winters-3451955?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAADqmKUB-gqKGZ_4Bmtc09KoIFF_VrbrF1w,46
